,SKM_old_train_01,SKM_old_train_02,SKM_old_train_03,SKM_old_train_04,SKM_old_train_05,SKM_old_train_06,SKM_old_train_07,SKM_old_train_08,SKM_old_train_09,SKM_old_train_10,SKM_old_train_11,SKM_old_train_12,SKM_old_untr_01,SKM_old_untr_02,SKM_old_untr_03,SKM_old_untr_04,SKM_old_untr_05,SKM_old_untr_06,SKM_old_untr_07,SKM_old_untr_08,SKM_old_untr_09,SKM_old_untr_10,SKM_old_untr_11,SKM_old_untr_12
3SALAOX,,9.594493984544997,,7.146531717914124,9.479805385742884,6.251113605334028,,,,,,5.747815581946112,12.004529206500338,7.137759606974716,,9.02891326655531,9.779935119442754,5.121788472338381,8.61107111678164,,,6.237531062692934,,
3SALATAi,42.581861663858405,25.283243937704682,42.43774478646751,18.268445885848685,28.42024948436417,58.55171051108762,44.38056028303674,14.364796208559964,20.435294152759898,20.86510752447742,37.723777883304685,22.69921697105262,30.22855673039379,61.15878575262702,25.723132764389835,43.94197551963806,55.23712600516431,40.85657524257872,37.7470235364299,61.537653064074775,17.690030374858992,46.73064773828506,30.209959351703176,40.491565131254646
3SALATAim,9.005573076933121,16.34417212723979,21.962835608228296,35.19369843538318,7.648912392648622,23.32444538595477,16.66345517384421,19.85623850719126,16.947852734463098,35.59607799690088,14.004684027049105,14.644529673123417,10.842706948083526,14.521812016453461,34.454988800972984,20.715379078441142,20.331299523381652,19.960200464388585,27.418622315744635,13.58499885041761,17.731788012690238,25.16474990640482,19.51508053557876,29.17176822212147
3SPYRSP,42.58186166385836,25.28324393770466,42.43774478646756,18.268445885848703,28.420249484364106,58.551710511087535,44.38056028303686,14.364796208560787,20.435294152759624,20.86510752447732,37.723777883304365,22.699216971052635,30.228556730394114,61.158785752627026,25.72313276438967,43.94197551963809,55.23712600516433,40.85657524257873,37.74702353642989,61.537653064074576,17.690030374858946,46.730647738285064,30.209959351702732,40.491565131254696
3SPYRSPm,9.005573076933194,16.34417212723987,21.96283560822817,35.193698435383546,7.648912392648626,23.324445385954924,16.663455173844046,19.856238507191225,16.947852734463588,35.59607799690086,14.004684027048892,14.644529673123497,10.842706948083533,14.521812016453504,34.45498880097295,20.715379078441092,20.33129952338173,19.960200464388542,27.41862231574467,13.584998850417785,17.731788012690217,25.164749906405028,19.515080535578203,29.171768222121482
41R1H2MAE12BOOX,8.060809677220224,6.13386539164778,13.251055169370959,12.499513294239962,21.5871909634932,26.30569504275956,13.839404139584522,27.060937053491593,12.299168851707977,25.323691604668,13.18593445897679,16.93219799661958,16.165358576923968,21.717934192410674,10.420171204778237,8.349065248754538,8.397864673146186,23.559366997004535,18.803053544290457,10.82239978675322,24.712420739382566,28.17475707945282,13.126450710385674,10.98739648109704
41R2A1H12BOOX,7.204213293182129,13.99254814918668,10.424267179019136,28.42504600489538,12.92714695980117,23.63280921034434,10.010192803995581,25.680182733882557,14.86116996435299,13.824275093700155,49.134209442472105,13.65693577962215,16.06116688259911,13.379734324607233,13.107189784824177,18.976550507466676,5.659071911980131,14.874521721244028,11.23478316265587,15.537331289232093,27.244747824532606,5.835808675941043,11.782428800415525,46.46983804771023
42A12BOOX,,,,,,,,,,,,,,,,,,,,,,,,
4HBZCOAFm,3.5176990337787593,6.16000602882188,6.713629208739998,4.09503143951115,2.9990172873639693,2.317407030344044,2.240360219685891,5.607518263801602,7.389066891640949,10.667222578061535,2.7284474454838805,8.564912796739387,3.80160350529345,3.3993347641346365,3.7712272139317733,2.842646581785844,1.7209524856667135,2.4537809923387623,4.27825473474213,2.876056609004783,2.352528830740664,2.8388947372391877,3.0171549853422803,5.542863852674288
4HBZFm,3.5176990337787593,6.16000602882188,6.713629208739984,4.095031439511149,2.9990172873640137,2.3174070303440457,2.2403602196858916,5.6075182638016114,7.389066891640949,10.667222578061537,2.7284474454838876,8.564912796739385,3.80160350529345,3.3993347641346365,3.7712272139317737,2.842646581785833,1.7209524856667127,2.4537809923387597,4.278254734742129,2.876056609004782,2.352528830740673,2.838894737239177,3.017154985342296,5.542863852674268
