,SKM_old_train_01.xml,SKM_old_train_02.xml,SKM_old_train_03.xml,SKM_old_train_04.xml,SKM_old_train_05.xml,SKM_old_train_06.xml,SKM_old_train_07.xml,SKM_old_train_08.xml,SKM_old_train_09.xml,SKM_old_train_10.xml,SKM_old_train_11.xml,SKM_old_train_12.xml,SKM_old_untr_01.xml,SKM_old_untr_02.xml,SKM_old_untr_03.xml,SKM_old_untr_04.xml,SKM_old_untr_05.xml,SKM_old_untr_06.xml,SKM_old_untr_07.xml,SKM_old_untr_08.xml,SKM_old_untr_09.xml,SKM_old_untr_10.xml,SKM_old_untr_11.xml,SKM_old_untr_12.xml
ACONTm,81.22945241665722,71.55473994065642,1.8147381633096167,44.720395254831686,34.51619207260307,45.54254875532302,17.707784246592723,60.72243734618801,68.2666711189908,49.50773616078223,50.45923663266122,73.37566254981948,90.07780064594877,30.12933684653602,58.98111534264879,2.89407662964767,55.02866940750018,60.75754972210558,86.07936344278625,59.98423548378795,24.447891286592977,71.46428245024845,66.57313487205877,26.4465100119736
ACS,0.0,8.024562106102077e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5906731192304752e-13,10.568214880100523,0.0,0.0,0.0
ACSm,2.7804906814477004e-15,0.0,13.976762227954705,0.0,0.0,0.17852990898036283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.25616304676436,0.0,0.0,0.0,0.0,0.0,0.0
ADK1,12.573009345798846,35.01445882898871,24.188869952419353,26.823966543787854,77.77589544030454,66.67251078875351,32.130034713376475,30.327651047053862,15.958904747990106,41.62075076965791,48.17660008462307,66.18871965702792,64.69958229071025,35.46741138795757,32.704092070110924,69.40806735165638,116.1481831242612,111.42471467393064,86.24105569098154,70.17276084639332,104.15616853520926,23.340579287870327,28.45321855858459,42.22258151235394
ADK1m,484.6114074533811,419.12605618024173,381.72885294318274,347.0774652825299,295.4984543527792,345.22994715621036,0.0,322.745217440676,385.4795954743803,380.07947042064217,271.9048916657045,373.50622786859185,339.45610613203337,372.76410560497317,394.5551094869804,417.1455669985888,300.89929921628317,290.76148120958106,311.8429203439104,341.6462966293503,280.1818081052461,398.2780849999421,346.8887320151336,296.6594292580251
ADMDC,0.0,0.0,0.11733729743562525,0.0,0.0,0.0,0.0,0.0,-2.4088909879162027e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADNCYC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.85274130264582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADNK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012931131320184465,3.3560544335272975,5.472371229721275e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.401486830834377e-14,0.0
ADNK1m,0.00039231843577980824,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,3.254957581056423e-14,2.4088909879162027e-13,3.5918907990115145e-14,0.0,0.0,0.000129311313237557,0.0,0.0,0.0,18.345355695277128,58.171061722885234,0.0,0.0,0.0,0.0,7.579122514774402e-14,38.54165570633408
ADPRDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012931131324300793,0.0,0.0,0.0,0.0,0.0,0.0,2.3932502579017065e-15,-3.730349362740526e-14,0.0,0.0,0.0,0.0,-1.5777218104420247e-30,0.0
